series_id,kpi_type,kind,train_cv,gate_choice,LSTM (H-TRACE)|mae,LSTM (H-TRACE)|rmse,LSTM (H-TRACE)|mape,LSTM (H-TRACE)|smape,LSTM (H-TRACE)|r2,Persistence|mae,Persistence|rmse,Persistence|mape,Persistence|smape,Persistence|r2,Volatility-Gated|mae,Volatility-Gated|rmse,Volatility-Gated|mape,Volatility-Gated|smape,Volatility-Gated|r2
r1,internet,real,0.4575,LSTM,27.88237907004391,37.492798557051124,8.174007967329088,7.784200372474909,0.9560920962426193,54.82388613550472,69.72110834387952,17.260457193730485,16.539589242628423,0.8481637212294976,27.88237907004391,37.492798557051124,8.174007967329088,7.784200372474909,0.9560920962426193
r2,sessions,real,0.0901,Persistence,3.882044103524492,5.122341147202506,0.4005665985426078,0.3995339672501276,0.7414568226591848,2.297230147358997,3.794580365853021,0.23671491945267534,0.23644246476077035,0.8581192112700531,2.297230147358997,3.794580365853021,0.23671491945267534,0.23644246476077035,0.8581192112700531
r3,sessions,real,0.0901,Persistence,6.092133391364042,7.475766422095955,0.6268128123743744,0.6286737552221638,0.5411968995599135,2.5760550474031336,5.392036520044132,0.267387294336635,0.26704426137509507,0.7613175170779625,2.5760550474031336,5.392036520044132,0.267387294336635,0.26704426137509507,0.7613175170779625
r4,sessions,real,0.09,Persistence,8.771946468101698,14.070135364389117,0.9138898853567957,0.9030237265374721,0.15294661284757682,3.5983537155393046,14.08075932732747,0.3832802054471365,0.3819620105236939,0.15166695760211157,3.5983537155393046,14.08075932732747,0.3832802054471365,0.3819620105236939,0.15166695760211157
r5,sessions,real,0.0899,Persistence,3.645392173468123,4.6898836160225255,0.37458778029435164,0.37410986533843826,0.746755448762348,2.293799723627833,3.839337206044339,0.23601115318142626,0.23587908824859172,0.8302817698605025,2.293799723627833,3.839337206044339,0.23601115318142626,0.23587908824859172,0.8302817698605025
r6,sessions,real,0.1295,Persistence,17.081584599067693,20.183999223724435,2.958736887423245,2.8861439796837387,-0.23658515609580766,2.348335058939136,11.820491659662427,0.4346828410262322,0.4148996848455923,0.575887894155615,2.348335058939136,11.820491659662427,0.4346828410262322,0.4148996848455923,0.575887894155615
r7,sessions,real,0.0901,Persistence,17.459790030451945,61.904158960927504,294.2225878600447,2.191671077607565,-0.10207297495871659,9.40709202855621,76.94696147893833,279.0649647616507,1.5347036543816341,-0.7027608147781446,9.40709202855621,76.94696147893833,279.0649647616507,1.5347036543816341,-0.7027608147781446
r8,sessions,real,0.0902,Persistence,15.507355808194568,15.55968139867942,1.6479450263748883,1.6343838325294169,-55.65767441431145,0.6762777161684781,1.3057876070565613,0.07192136866683438,0.07189001597363136,0.600972865724213,0.6762777161684781,1.3057876070565613,0.07192136866683438,0.07189001597363136,0.600972865724213
r9,sessions,real,0.0898,Persistence,5.19628238261298,5.678639414910548,0.5287810017752491,0.5303207114517676,-0.44225314324103615,1.4289983160179598,2.621570401777115,0.14579106857809462,0.1457672849106225,0.69261975011864,1.4289983160179598,2.621570401777115,0.14579106857809462,0.1457672849106225,0.69261975011864
r10,sessions,real,0.0919,Persistence,4.486437384924416,10.689933672305449,0.4653543733863572,0.4616285881656204,0.27213506021792,3.3581278316888965,12.331384320912786,0.35268873436373005,0.35115847700906994,0.03144464667581859,3.3581278316888965,12.331384320912786,0.35268873436373005,0.35115847700906994,0.03144464667581859
r11,sessions,real,0.0898,Persistence,15.514615994299081,16.128656796517188,1.5783356310530299,1.5913147756682744,-1.3480866009848866,2.2134257653263467,4.873019023243961,0.22687550547258012,0.22667758859306578,0.785654720939341,2.2134257653263467,4.873019023243961,0.22687550547258012,0.22667758859306578,0.785654720939341
r12,vpn,real,0.527,LSTM,28.48722527390959,42.88736091430656,7.742419774084988,7.930154845221864,0.5689721595831866,29.25353245887741,43.66053220192944,8.011348546825884,8.062032832161652,0.5532909739847278,28.48722527390959,42.88736091430656,7.742419774084988,7.930154845221864,0.5689721595831866
r13,downstream,real,0.155,LSTM,10.605275761568018,12.970373917247114,4.368395266076158,4.317514408815999,0.8545663945073572,12.039477612669662,15.316514726809775,4.885992923463164,4.833358293119166,0.7971945209072374,10.605275761568018,12.970373917247114,4.368395266076158,4.317514408815999,0.8545663945073572
r14,downstream,real,0.4199,LSTM,27.153724664921906,36.851497945303386,7.75174554737058,7.41253533496977,0.9465417009012012,48.570651074063875,61.384359808530874,14.83480650444766,14.305818544935981,0.8516729680200091,27.153724664921906,36.851497945303386,7.75174554737058,7.41253533496977,0.9465417009012012
s1,internet,synthetic,0.479,LSTM,47.15092387706283,73.73439722842842,257.63389148708774,15.125202928908092,0.8191004533632034,61.397058205239546,90.20809274118473,323.9529503100817,21.251441074226925,0.7292376896049102,47.15092387706283,73.73439722842842,257.63389148708774,15.125202928908092,0.8191004533632034
s2,internet,synthetic,0.4845,LSTM,37.04240712811205,49.26977013078512,12.60240865127718,11.520388865126083,0.9077571373588759,54.16825963727439,68.12460510060625,20.84099583018385,19.919472678605697,0.8236482816426556,37.04240712811205,49.26977013078512,12.60240865127718,11.520388865126083,0.9077571373588759
s3,internet,synthetic,0.453,LSTM,25.406844383518283,35.508996699055835,10.240967249249875,9.911770480273761,0.9122105205276184,40.2746573894096,49.7728409445239,18.148571941155563,17.532653733506894,0.8275153184248673,25.406844383518283,35.508996699055835,10.240967249249875,9.911770480273761,0.9122105205276184
s4,internet,synthetic,0.4501,LSTM,32.83733971081334,42.6556815308023,8.844112785639423,8.34170567369096,0.9512037710980231,65.392116837059,82.00020680202749,18.63999638634781,17.91559356692864,0.819672324426292,32.83733971081334,42.6556815308023,8.844112785639423,8.34170567369096,0.9512037710980231
s5,internet,synthetic,0.4591,LSTM,33.260333577342564,47.26862303454984,9.12076861874299,8.882271240967127,0.9258047910900105,59.93414476317188,76.35178966930228,18.548261473040018,17.750897145526785,0.8064164712572427,33.260333577342564,47.26862303454984,9.12076861874299,8.882271240967127,0.9258047910900105
s6,internet,synthetic,0.4833,LSTM,33.06088902908368,45.60511324227611,10.076875664196022,9.36793158422522,0.9377028864452603,57.53800732774326,74.67372952853964,19.697653202602933,18.678817408271602,0.8329769028597431,33.06088902908368,45.60511324227611,10.076875664196022,9.36793158422522,0.9377028864452603
s7,internet,synthetic,0.4807,LSTM,28.511386900319476,41.34266839138054,7.944186761176858,7.658877533922265,0.9545139123282532,60.56695286982475,77.52570544996263,19.581637899357784,18.56190424430415,0.8400541302878527,28.511386900319476,41.34266839138054,7.944186761176858,7.658877533922265,0.9545139123282532
s8,internet,synthetic,0.4998,LSTM,31.54328431040805,45.7247322641652,8.218365380321323,8.050046595677559,0.9421641693192923,64.52432760650696,82.71810741510922,20.947037627536467,19.80485645807685,0.8107238847980557,31.54328431040805,45.7247322641652,8.218365380321323,8.050046595677559,0.9421641693192923
s9,internet,synthetic,0.4807,LSTM,40.80686078785746,49.32827749753168,14.074664546935544,12.67921802541795,0.937194989820787,65.02895155024973,79.27186051870612,19.79023885224104,19.024582673029037,0.8378038684860712,40.80686078785746,49.32827749753168,14.074664546935544,12.67921802541795,0.937194989820787
s10,internet,synthetic,0.4819,LSTM,28.84463605185868,39.598984523560226,8.795135469520206,8.307890449277995,0.9586906608583821,63.0101229392148,80.16358719667065,19.806876167477565,18.765305185240063,0.8307087798374977,28.84463605185868,39.598984523560226,8.795135469520206,8.307890449277995,0.9586906608583821
s11,sessions,synthetic,0.09,Persistence,33.37684739930192,110.95547062389797,932.6235721472136,4.823080633153519,-0.25279236269868766,19.531320353377005,127.26308683653258,812.0941852075163,3.7690802810675836,-0.6481114008515214,19.531320353377005,127.26308683653258,812.0941852075163,3.7690802810675836,-0.6481114008515214
s12,sessions,synthetic,0.0899,Persistence,10.25480070447084,15.213531496607636,1.0852777079041718,1.0630733346078496,-0.24488948830223456,2.2329335999935096,15.157737535208515,0.2546498822600679,0.24651658796333567,-0.23577523990826288,2.2329335999935096,15.157737535208515,0.2546498822600679,0.24651658796333567,-0.23577523990826288
s13,sessions,synthetic,0.1295,Persistence,24.4175573311883,26.72386439796553,4.206721205386006,4.0900226939777795,-1.1677445654585301,2.348335058939136,11.820491659662427,0.4346828410262322,0.4148996848455923,0.575887894155615,2.348335058939136,11.820491659662427,0.4346828410262322,0.4148996848455923,0.575887894155615
s14,sessions,synthetic,0.09,Persistence,5.013147552196347,7.6087669614552755,0.513714562350866,0.5109422892556601,0.5204750938625486,3.0032560231057692,5.743464369711634,0.30685613600973255,0.30653245491125114,0.7267686891814387,3.0032560231057692,5.743464369711634,0.30685613600973255,0.30653245491125114,0.7267686891814387
s15,sessions,synthetic,0.09,Persistence,3.053894452079158,3.7743832181936745,0.3110472403120886,0.31108621661124963,0.8083028957293927,1.8944939258554399,3.083238797253061,0.1934230599874161,0.19339004292162,0.8720801646238558,1.8944939258554399,3.083238797253061,0.1934230599874161,0.19339004292162,0.8720801646238558
s18,sessions,synthetic,0.0901,Persistence,10.702101468993446,12.136667602485335,1.1102137296950672,1.1022682090317175,-0.20924364140231844,2.5760550474031336,5.392036520044132,0.267387294336635,0.26704426137509507,0.7613175170779625,2.5760550474031336,5.392036520044132,0.267387294336635,0.26704426137509507,0.7613175170779625
